problem_id,classifier,sample_flag,sampler,select_flag,stratify_flag,test_mode,duplicate,total_size,split,train_ratio,train_size,upsmaple_size,tag_info,select_mode,class_mode,f_score,acc,auc,base_acc_0,base_acc_1
864/B,rft,True,smote,False,True,cross,remove,1943,kf,0.9,1748,2178,none,none,OK,0.79,0.72,0.77,0.62,0.38
864/C,rft,True,smote,False,True,cross,remove,1661,kf,0.9,1494,1652,none,none,OK,0.60,0.66,0.73,0.45,0.55
864/D,rft,True,smote,False,True,cross,remove,1907,kf,0.9,1716,2142,none,none,OK,0.82,0.77,0.80,0.62,0.38
864/E,rft,True,smote,False,True,cross,remove,764,kf,0.9,687,856,none,none,OK,0.57,0.70,0.77,0.38,0.62
900/A,rft,True,smote,False,True,cross,remove,2566,kf,0.9,2309,3608,none,none,OK,0.91,0.85,0.79,0.78,0.22
900/B,rft,True,smote,False,True,cross,remove,2456,kf,0.9,2210,2618,none,none,OK,0.70,0.76,0.86,0.41,0.59
900/C,rft,True,smote,False,True,cross,remove,2477,kf,0.9,2229,3434,none,none,OK,0.49,0.81,0.84,0.23,0.77
900/D,rft,True,smote,False,True,cross,remove,1533,kf,0.9,1379,1678,none,none,OK,0.96,0.95,0.98,0.61,0.39
900/E,rft,True,smote,False,True,cross,remove,598,kf,0.9,538,864,none,none,OK,0.98,0.97,0.97,0.80,0.20
113/B,rft,True,smote,False,True,cross,remove,1494,kf,0.9,1344,1930,none,none,OK,0.64,0.82,0.90,0.28,0.72

455/A,rft,True,smote,False,True,cross,remove,1363,kf,0.9,1226,1618,none,none,OK,0.57,0.73,0.79,0.34,0.66
899/A,rft,True,smote,False,True,cross,remove,403,kf,0.9,362,576,none,none,OK,0.89,0.82,0.77,0.79,0.21
899/C,rft,True,smote,False,True,cross,remove,1774,kf,0.9,1596,2224,none,none,OK,0.80,0.70,0.70,0.70,0.30
911/E,rft,True,smote,False,True,cross,remove,629,kf,0.9,566,570,none,none,OK,0.71,0.70,0.77,0.50,0.50
915/C,rft,True,smote,False,True,cross,remove,1430,kf,0.9,1287,1454,none,none,OK,0.61,0.66,0.73,0.44,0.56
909/A,rft,True,smote,False,True,cross,remove,1987,kf,0.9,1788,2740,none,none,OK,0.87,0.79,0.76,0.77,0.23
909/B,rft,True,smote,False,True,cross,remove,1914,kf,0.9,1722,2586,none,none,OK,0.89,0.82,0.84,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1129,kf,0.9,1016,1232,none,none,OK,0.72,0.78,0.87,0.39,0.61
909/D,rft,True,smote,False,True,cross,remove,951,kf,0.9,855,1262,none,none,OK,0.91,0.86,0.87,0.74,0.26
864/A,rft,True,smote,False,True,cross,remove,1888,kf,0.9,1699,2286,none,none,OK,0.80,0.71,0.71,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1747,kf,0.9,1572,2106,none,none,OK,0.79,0.69,0.72,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1358,kf,0.9,1222,1286,none,none,OK,0.64,0.61,0.63,0.53,0.47
864/D,rft,True,smote,False,True,cross,remove,1659,kf,0.9,1493,2052,none,none,OK,0.83,0.75,0.74,0.69,0.31
864/E,rft,True,smote,False,True,cross,remove,631,kf,0.9,567,630,none,none,OK,0.58,0.63,0.70,0.45,0.55
900/A,rft,True,smote,False,True,cross,remove,2364,kf,0.9,2127,3460,none,none,OK,0.91,0.84,0.73,0.81,0.19
900/B,rft,True,smote,False,True,cross,remove,1924,kf,0.9,1731,1764,none,none,OK,0.71,0.72,0.80,0.49,0.51
900/C,rft,True,smote,False,True,cross,remove,1798,kf,0.9,1618,2246,none,none,OK,0.50,0.72,0.76,0.31,0.69
900/D,rft,True,smote,False,True,cross,remove,1137,kf,0.9,1023,1530,none,none,OK,0.95,0.92,0.95,0.75,0.25
900/E,rft,True,smote,False,True,cross,remove,496,kf,0.9,446,804,none,none,OK,0.96,0.93,0.86,0.90,0.10
113/B,rft,True,smote,False,True,cross,remove,817,kf,0.9,735,842,none,none,OK,0.57,0.66,0.73,0.43,0.57

455/A,rft,True,smote,False,True,cross,remove,1363,ss,0.2,272,358,none,none,OK,0.50,0.69,0.72,0.34,0.66
899/A,rft,True,smote,False,True,cross,remove,403,ss,0.2,80,126,none,none,OK,0.88,0.80,0.71,0.79,0.21
899/C,rft,True,smote,False,True,cross,remove,1774,ss,0.2,354,492,none,none,OK,0.78,0.67,0.65,0.70,0.30
911/E,rft,True,smote,False,True,cross,remove,629,ss,0.2,125,126,none,none,OK,0.66,0.66,0.71,0.50,0.50
915/C,rft,True,smote,False,True,cross,remove,1430,ss,0.2,286,322,none,none,OK,0.57,0.62,0.68,0.44,0.56
909/A,rft,True,smote,False,True,cross,remove,1987,ss,0.2,397,608,none,none,OK,0.85,0.77,0.75,0.77,0.23
909/B,rft,True,smote,False,True,cross,remove,1914,ss,0.2,382,574,none,none,OK,0.88,0.80,0.79,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1129,ss,0.2,225,272,none,none,OK,0.67,0.75,0.84,0.39,0.61
909/D,rft,True,smote,False,True,cross,remove,951,ss,0.2,190,280,none,none,OK,0.90,0.84,0.83,0.74,0.26
864/A,rft,True,smote,False,True,cross,remove,1888,ss,0.2,377,506,none,none,OK,0.78,0.69,0.66,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1747,ss,0.2,349,468,none,none,OK,0.77,0.67,0.66,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1358,ss,0.2,271,284,none,none,OK,0.60,0.57,0.59,0.53,0.47
864/D,rft,True,smote,False,True,cross,remove,1659,ss,0.2,331,454,none,none,OK,0.80,0.71,0.70,0.69,0.31
864/E,rft,True,smote,False,True,cross,remove,631,ss,0.2,126,140,none,none,OK,0.54,0.60,0.64,0.45,0.55
900/A,rft,True,smote,False,True,cross,remove,2364,ss,0.2,472,768,none,none,OK,0.90,0.82,0.71,0.81,0.19
900/B,rft,True,smote,False,True,cross,remove,1924,ss,0.2,384,392,none,none,OK,0.68,0.69,0.76,0.49,0.51
900/C,rft,True,smote,False,True,cross,remove,1798,ss,0.2,359,498,none,none,OK,0.48,0.71,0.73,0.31,0.69
900/D,rft,True,smote,False,True,cross,remove,1137,ss,0.2,227,340,none,none,OK,0.94,0.91,0.92,0.75,0.25
900/E,rft,True,smote,False,True,cross,remove,496,ss,0.2,99,178,none,none,OK,0.95,0.91,0.78,0.90,0.10
113/B,rft,True,smote,False,True,cross,remove,817,ss,0.2,163,186,none,none,OK,0.55,0.64,0.68,0.43,0.57

455/A,rft,True,smote,False,True,cross,remove,1363,ss,0.2, 272, 358,none,none,OK,0.50,0.69,0.72,0.34,0.66
899/A,rft,True,smote,False,True,cross,remove, 403,ss,0.2,  80, 126,none,none,OK,0.88,0.80,0.71,0.79,0.21
899/C,rft,True,smote,False,True,cross,remove,1774,ss,0.2, 354, 492,none,none,OK,0.78,0.67,0.65,0.70,0.30
911/E,rft,True,smote,False,True,cross,remove, 629,ss,0.2, 125, 126,none,none,OK,0.66,0.66,0.71,0.50,0.50
915/C,rft,True,smote,False,True,cross,remove,1430,ss,0.2, 286, 322,none,none,OK,0.57,0.62,0.68,0.44,0.56
909/A,rft,True,smote,False,True,cross,remove,1987,ss,0.2, 397, 608,none,none,OK,0.85,0.77,0.75,0.77,0.23
909/B,rft,True,smote,False,True,cross,remove,1914,ss,0.2, 382, 574,none,none,OK,0.88,0.80,0.79,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1129,ss,0.2, 225, 272,none,none,OK,0.67,0.75,0.84,0.39,0.61
909/D,rft,True,smote,False,True,cross,remove, 951,ss,0.2, 190, 280,none,none,OK,0.90,0.84,0.83,0.74,0.26
864/A,rft,True,smote,False,True,cross,remove,1888,ss,0.2, 377, 506,none,none,OK,0.78,0.69,0.66,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1747,ss,0.2, 349, 468,none,none,OK,0.77,0.67,0.66,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1358,ss,0.2, 271, 284,none,none,OK,0.60,0.57,0.59,0.53,0.47
864/D,rft,True,smote,False,True,cross,remove,1659,ss,0.2, 331, 454,none,none,OK,0.80,0.71,0.70,0.69,0.31
864/E,rft,True,smote,False,True,cross,remove, 631,ss,0.2, 126, 140,none,none,OK,0.54,0.60,0.64,0.45,0.55
900/A,rft,True,smote,False,True,cross,remove,2364,ss,0.2, 472, 768,none,none,OK,0.90,0.82,0.71,0.81,0.19
900/B,rft,True,smote,False,True,cross,remove,1924,ss,0.2, 384, 392,none,none,OK,0.68,0.69,0.76,0.49,0.51
900/C,rft,True,smote,False,True,cross,remove,1798,ss,0.2, 359, 498,none,none,OK,0.48,0.71,0.73,0.31,0.69
900/D,rft,True,smote,False,True,cross,remove,1137,ss,0.2, 227, 340,none,none,OK,0.94,0.91,0.92,0.75,0.25
