problem_id,classifier,sample_flag,sampler,select_flag,stratify_flag,test_mode,duplicate,total_size,split,train_ratio,train_size,upsmaple_size,tag_info,select_mode,class_mode,f_score,acc,auc,base_acc_0,base_acc_1
899/C,rft,True,smote,False,True,cross,remove,1774,kf,0.9,1596,2224,['none'],-fns,OK,0.80,0.71,0.70,0.70,0.30
911/E,rft,True,smote,False,True,cross,remove, 629,kf,0.9, 566, 570,['none'],-fns,OK,0.71,0.70,0.77,0.50,0.50
915/C,rft,True,smote,False,True,cross,remove,1430,kf,0.9,1287,1454,['none'],-fns,OK,0.59,0.65,0.72,0.44,0.56
113/B,rft,True,smote,False,True,cross,remove, 817,kf,0.9, 735, 842,['none'],-fns,OK,0.52,0.62,0.67,0.43,0.57
909/A,rft,True,smote,False,True,cross,remove,1987,kf,0.9,1788,2740,['none'],-fns,OK,0.87,0.79,0.76,0.77,0.23
909/B,rft,True,smote,False,True,cross,remove,1914,kf,0.9,1722,2586,['none'],-fns,OK,0.89,0.83,0.85,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1129,kf,0.9,1016,1232,['none'],-fns,OK,0.74,0.79,0.88,0.39,0.61
909/D,rft,True,smote,False,True,cross,remove, 951,kf,0.9, 855,1262,['none'],-fns,OK,0.91,0.85,0.86,0.74,0.26
909/E,rft,True,smote,False,True,cross,remove, 172,kf,0.9, 154, 158,['none'],-fns,OK,0.59,0.62,0.64,0.49,0.51
864/A,rft,True,smote,False,True,cross,remove,1888,kf,0.9,1699,2286,['none'],-fns,OK,0.81,0.72,0.71,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1747,kf,0.9,1572,2106,['none'],-fns,OK,0.78,0.67,0.66,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1358,kf,0.9,1222,1286,['none'],-fns,OK,0.63,0.60,0.64,0.53,0.47
864/D,rft,True,smote,False,True,cross,remove,1659,kf,0.9,1493,2052,['none'],-fns,OK,0.82,0.74,0.73,0.69,0.31
864/E,rft,True,smote,False,True,cross,remove, 631,kf,0.9, 567, 630,['none'],-fns,OK,0.52,0.59,0.63,0.45,0.55
900/A,rft,True,smote,False,True,cross,remove,2364,kf,0.9,2127,3460,['none'],-fns,OK,0.91,0.84,0.74,0.81,0.19
900/B,rft,True,smote,False,True,cross,remove,1924,kf,0.9,1731,1764,['none'],-fns,OK,0.72,0.72,0.80,0.49,0.51
900/C,rft,True,smote,False,True,cross,remove,1798,kf,0.9,1618,2246,['none'],-fns,OK,0.51,0.73,0.76,0.31,0.69
900/D,rft,True,smote,False,True,cross,remove,1137,kf,0.9,1023,1530,['none'],-fns,OK,0.95,0.92,0.95,0.75,0.25
900/E,rft,True,smote,False,True,cross,remove, 496,kf,0.9, 446, 804,['none'],-fns,OK,0.97,0.94,0.85,0.90,0.10
282/A,rft,True,smote,False,True,cross,remove,2523,kf,0.9,2270,3480,['none'],-fns,OK,0.83,0.71,0.60,0.77,0.23
282/B,rft,True,smote,False,True,cross,remove,1694,kf,0.9,1524,1874,['none'],-fns,OK,0.74,0.68,0.73,0.61,0.39
282/C,rft,True,smote,False,True,cross,remove,1828,kf,0.9,1645,1796,['none'],-fns,OK,0.79,0.76,0.81,0.55,0.45
282/D,rft,True,smote,False,True,cross,remove, 942,kf,0.9, 847,1188,['none'],-fns,OK,0.88,0.82,0.84,0.70,0.30
282/E,rft,True,smote,False,True,cross,remove,1110,kf,0.9, 999,1262,['none'],-fns,OK,0.83,0.75,0.73,0.63,0.37
848/A,rft,True,smote,False,True,cross,remove,1006,kf,0.9, 905,1778,['none'],-fns,OK,0.99,0.98,0.60,0.98,0.02
848/B,rft,True,smote,False,True,cross,remove, 737,kf,0.9, 663,1260,['none'],-fns,OK,0.97,0.94,0.65,0.95,0.05
848/C,rft,True,smote,False,True,cross,remove, 351,kf,0.9, 315, 526,['none'],-fns,OK,0.90,0.83,0.75,0.83,0.17

